Stocks,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y CAGR,Beta,Alpha,5Y HISREVGTH
L&TFH,Diversified Financials,20174.73,81.55,20.78,0.25,1.98,-34.85,13.88
VINATIORGA,Specialty Chemicals,20172.01,1962.60,74.90,47.39,0.57,26.02,9.00
INDIANB,Public Banks,19951.97,160.20,6.34,-9.36,1.95,-24.82,20.41
THERMAX,Industrial Machinery,19912.21,1671.10,96.39,14.93,0.65,10.92,-1.44
FEDERALBNK,Private Banks,19903.77,94.70,11.96,5.90,1.51,-13.95,13.51
TANLA,Software Services,19843.28,1461.80,55.72,109.35,1.85,141.72,40.44
GRINDWELL,Industrial Machinery,19726.98,1781.70,82.48,40.36,0.86,37.27,7.56
MINDSPACE,Real Estate,19365.01,326.55,62.98,-,-,-,-
SKFINDIA,Industrial Machinery,19138.42,3871.20,64.29,24.04,0.75,16.53,-2.67
SUMICHEM,Commodity Chemicals,18870.20,378.05,54.65,-,-,-,27.48
SANOFI,Pharmaceuticals,18815.67,8169.85,39.40,14.10,0.51,6.96,5.14
PRESTIGE,Real Estate,18712.01,466.75,12.85,24.76,1.26,23.43,9.04
GRINFRA,Construction & Engineering,18636.32,1927.45,19.55,-,-,-,31.27
KAJARIACER,Building Products - Ceramics,18628.95,1170.40,60.47,19.60,0.93,21.70,2.94
PHOENIXLTD,Real Estate,18613.34,1081.75,353.80,26.49,0.95,10.88,-8.42
AJANTPHARM,Pharmaceuticals,18429.49,2119.55,28.19,3.30,0.20,18.08,10.49
NUVOCO,Cement,18373.90,514.45,-708.60,-,-,-,-
CENTRALBK,Public Banks,18360.19,21.15,-18.36,-23.82,1.49,-7.75,-1.43
GILLETTE,FMCG - Personal Products,18109.89,5557.70,58.35,5.28,0.27,-12.52,2.48
HAPPSTMNDS,IT Services & Consulting,17986.59,1264.70,110.71,-,-,-,17.85
CPSEETF,Equity,17932.99,29.72,-,3.69,0.80,-5.07,-
AIAENG,Industrial Machinery,17824.19,1889.75,31.48,8.81,0.67,-1.14,6.77
NAVINFLUOR,Specialty Chemicals,17591.86,3551.45,68.31,50.06,0.77,44.23,12.59
GSPL,Gas Distribution,17445.42,309.20,10.86,14.91,0.85,10.07,60.79
NATIONALUM,Metals - Aluminium,17402.09,94.75,13.39,13.57,1.01,6.84,4.02
APTUS,Home Financing,17350.28,350.10,65.00,-,-,-,52.99
CARBORUNIV,Industrial Machinery,17149.74,903.70,60.32,28.76,1.19,22.01,6.24
KPRMILL,Textiles,16942.74,492.45,32.88,35.34,1.28,40.64,6.34
ABSLAMC,Asset Management,16845.12,584.90,32.01,-,-,-,9.22
SUNDRMFAST,Auto Parts,16789.26,799.00,46.74,22.28,1.32,2.43,1.22
ALKYLAMINE,Specialty Chemicals,16731.08,3276.15,56.65,93.43,1.12,73.41,20.78
BLUEDART,Logistics,16307.85,6872.85,160.18,8.23,0.74,21.09,4.96
UCOBANK,Public Banks,16260.10,13.60,97.34,-17.53,1.31,-13.67,-2.06
METROPOLIS,Hospitals & Diagnostic Centres,16102.33,3146.80,87.93,-,-,41.93,15.38
CDSL,Stock Exchanges & Ratings,15700.08,1502.40,78.36,-,0.76,58.46,15.56
TTML,Telecom Services,15649.20,80.05,-7.84,66.80,1.25,129.01,-18.74
MANAPPURAM,Consumer Finance,15594.82,184.25,9.04,19.52,1.45,8.72,21.87
SFL,Home Furnishing,15550.98,3187.80,65.41,-,0.43,19.65,9.69
AFFLE,Advertising,15415.15,1156.85,114.36,-,-,76.33,50.34
KIOCL,Iron & Steel,15333.56,252.30,50.91,-,1.70,11.96,44.17
CHAMBLFERT,Fertilizers & Agro Chemicals,15192.07,365.35,9.18,45.20,1.28,23.50,7.64
WABCOINDIA,Auto Parts,15185.73,8006.15,146.28,9.75,0.23,5.27,0.32
RADICO,Alcoholic Beverages,15072.39,1127.55,54.38,56.99,1.01,26.35,7.54
POONAWALLA,Consumer Finance,15026.91,196.55,-26.88,15.24,2.48,18.21,-2.56
TTKPRESTIG,Home Electronics & Appliances,15012.24,10830.25,63.40,19.32,0.70,14.48,7.26
CENTURYPLY,Wood Products,14971.13,673.85,78.19,30.30,1.25,35.32,5.45
EXIDEIND,Batteries,14964.25,176.05,18.48,-0.26,0.80,-23.35,9.87
APLLTD,Pharmaceuticals,14938.80,760.00,12.68,4.77,0.61,7.34,11.23
CAMS,Diversified Financials,14924.12,3051.75,72.69,-,-,-,10.67
UTISENSETF,Equity,14879.89,627.57,-,18.43,0.67,5.95,-
NATCOPHARM,Pharmaceuticals,14861.44,815.05,33.71,4.96,0.81,-1.55,15.38
DCMSHRIRAM,Diversified Chemicals,14861.34,962.70,22.07,35.83,1.01,27.21,8.37
TIMKEN,Industrial Machinery,14449.89,1921.05,100.93,28.15,0.86,35.35,6.24
APOLLOTYRE,Tires & Rubber,14226.26,224.00,40.62,3.43,1.33,-19.19,7.94
LUXIND,Apparel & Accessories,13814.41,4413.55,50.90,42.77,1.03,31.49,15.86
GLENMARK,Pharmaceuticals,13617.44,482.60,14.04,-11.75,1.16,-15.70,7.80
FINPIPE,Building Products - Pipes,13591.13,219.80,18.42,21.90,0.82,13.19,6.80
MOTILALOFS,Diversified Financials,13579.86,923.80,10.90,14.60,1.02,3.31,27.43
SHRIRAMCIT,Consumer Finance,13570.69,2051.25,12.76,2.51,1.46,1.26,8.94
IIFLWAM,Asset Management,13528.87,1529.20,36.64,-,-,-4.58,32.60
QUESS,Employment Services,13449.92,910.10,232.34,8.95,1.53,2.04,25.95
WELSPUNIND,Textiles,13417.83,135.80,24.86,17.22,1.31,17.13,4.26
MAHABANK,Public Banks,13326.38,19.80,23.32,-7.85,0.95,13.78,0.60
CASTROLIND,Commodity Chemicals,13293.80,134.40,22.80,-7.22,0.94,-10.74,-2.06
UTIAMC,Asset Management,13179.30,1038.90,26.67,-,-,-,9.84
CHOLAHLDNG,Diversified Financials,13145.26,700.20,15.94,10.37,1.53,-1.05,8.95
BSOFT,IT Services & Consulting,13004.32,469.25,40.53,29.26,1.25,36.14,1.91
SUVENPHAR,Pharmaceuticals,12939.54,508.30,35.71,342.38,-,-,-
ZYDUSWELL,FMCG - Foods,12846.06,2018.80,108.20,18.90,0.48,13.46,34.31
JBCHEPHARM,Pharmaceuticals,12819.55,1658.80,28.62,36.83,0.14,55.85,11.18
CYIENT,Software Services,12503.77,1134.55,34.37,18.74,1.19,13.31,5.85
KEC,Construction & Engineering,12484.21,485.60,22.59,28.42,1.09,5.50,9.04
IIFL,Investment Banking & Brokerage,12367.26,326.05,16.27,4.99,1.79,5.58,8.61
BAJAJELEC,Home Electronics & Appliances,12315.72,1073.35,64.64,38.68,1.14,15.88,0.08
BASF,Diversified Chemicals,12270.40,2834.75,22.20,22.48,0.41,18.28,15.31
RBLBANK,Private Banks,12187.47,203.35,23.02,-9.71,1.73,-50.76,26.82
KPITTECH,IT Services & Consulting,12117.97,449.45,82.92,-,-,52.24,-
NH,Hospitals & Diagnostic Centres,12056.27,589.95,-843.69,12.25,0.82,24.50,10.19
ROUTE,IT Services & Consulting,12052.08,1925.35,90.40,-,-,-,30.77
ASAHIINDIA,Auto Parts,11933.28,490.90,89.68,22.27,0.99,10.14,2.18
FSL,Outsourced services,11814.43,173.55,32.66,37.51,1.27,29.38,9.50
